type,longitude,latitude,name,address,phone,risk_modifier
CAI,-74.06775426799999,4.585306923000019,CAI Laches,DG 3C 8 05 ESTE,3204577446,-0.2
CAI,-74.057354,4.711654,CAI Tierra Linda,CL 127C KR 49,3132246669,-0.2
CAI,-74.12295277099997,4.716920757000025,CAI Villas de Granada,KR 112A 77A 30,3044812664,-0.2
CAI,-74.10758769799997,4.681306305000021,CAI Villa Luz,KR 77A CL 64B,3125596896,-0.2
CAI,-74.117963713,4.651477447,CAI Granjas,KR 69B CL 21A,3132505220,-0.2
CAI,-74.07136543799999,4.623618513,CAI Teusaquillo,KR 16 AC 34,3173744038,-0.2
CAI,-74.09001,4.517569,CAI Juan Rey,KR 15 ESTE CL 74 SUR,3208067575,-0.2
CAI,-74.17938018900003,4.577777388000015,CAI Santo Domingo,CL 69A SUR KR 77C,3007865927,-0.2
CAI,-74.13902753000002,4.619153313000027,CAI Plaza de Las Américas,AV BOYACA AV 1 DE MAYO,3186958587,-0.2
CAI,-74.110292759,4.576543832000027,CAI Gustavo Restrepo,CL 31A SUR KR 13A BIS,3194661479,-0.2
CAI,-74.091532475,4.559238271000027,CAI Bello Horizonte,KR 3A ESTE 31C 07 SUR,3208443083,-0.2
CAI,-74.149078825,4.562818279,CAI San Francisco,KR 20C CL 67 SUR,3227216919,-0.2
CAI,-74.11480595699999,4.49071385000002,CAI Antonio José de Sucre,KR 5 BIS 111 25 SUR,3212235405,-0.2
CAI,-74.092548,4.572588,CAI 20 de Julio,CL 22A SUR KR 7,3115488954,-0.2
CAI,-74.097337203,4.555436000999975,CAI Guacamayas,KR 2A CL 37B SUR,3128171222,-0.2
CAI,-74.08314172500002,4.558065086,CAI Ramajal,CL 30C SUR KR 9A ESTE,3015153248,-0.2
CAI,-74.095584416,4.544212644000027,CAI La Victoria,CL 46A SUR KR 3F ESTE,3202214831,-0.2
CAI,-74.153169543,4.573294340000018,CAI Candelaria,AV CIUDAD DE VILLAVICENCIO KR 43C,3008085957,-0.2
CAI,-74.135443,4.59621,CAI La Alquería,CL 43 SUR KR 52C,3202214831,-0.2
CAI,-74.12947642300003,4.635425092999981,CAI Marsella,CL 9A KR 70,3203975418,-0.2
CAI,-74.07497693699997,4.631374375,CAI Soledad,AK 24 CL 41,3147300919,-0.2
CAI,-74.16774619900002,4.591467796000018,CAI Perdomo,DG 62A SUR KR 72,3504910683,-0.2
CAI,-74.086037654,4.537025868,CAI Altamira,CL 48 SUR 13D ESTE,3015806836,-0.2
CAI,-74.087139488,4.532582913,CAI Libertadores,CL 56 SUR 14A 11 ESTE,3044726023,-0.2
CAI,-74.02420483100002,4.763923186,CAI Codito,KR 4 CL 187A,3012123642,-0.2
CAI,-74.04034847999998,4.764441608000027,CAI Verbenal,CL 187 19 22,3115920934,-0.2
CAI,-74.09038087,4.682947556999977,CAI Las Ferias,AVENIDA CHILE KR 69J,3212029221,-0.2
CAI,-74.06452509399998,4.591620431000024,CAI Mirador,KM 3 VIA CHOACHI,3214407794,-0.2
CAI,-74.028932607,4.708470998999985,CAI Lisboa,CL 130 AK 7,3213454983,-0.2
CAI,-74.06220383800002,4.64577261300002,CAI Chapinero,CL 60 KR 9,3104938271,-0.2
CAI,-74.107215408,4.584527438,CAI Centenario,KR 24 CL 24 SUR,3223121321,-0.2
CAI,-74.075364342,4.587190616999976,CAI Girardot,CL 2A 1A 20,3116208734,-0.2
CAI,-74.07158534400003,4.589233127,CAI Guavio,CL 6 3 67 ESTE,3113684086,-0.2
CAI,-74.072303438,4.580576087,CAI Dorado,CL 1A BIS KR 8 ESTE,3014410910,-0.2
CAI,-74.08030755200002,4.595652054000027,CAI Bolivia,AK 10 CL 7,3103854262,-0.2
CAI,-74.06513794099999,4.755533948,CAI San José de Bavaria,CL 169B AV BOYACÁ,3123510972,-0.2
CAI,-74.04697354199999,4.753319260000012,CAI Villa del Prado,AUTOPISTA NORTE CL 172,3214665109,-0.2
CAI,-74.05409278500002,4.746351399,CAI Mazurén,KR 54 163 11,3102766633,-0.2
CAI,-74.08307860999997,4.749720626,CAI El Pinar,AC 153 KR 92,3102349011,-0.2
CAI,-74.11025050900002,4.753877062000015,CAI Fontanar del Río,KR 136A AC 145,3053164863,-0.2
